model_name,type_alg,hopper,n_episodes,trained_model,baseline,gamma,optim_lr,layer_size,save_every,random_state,returns,returns_AvgLast,returns_AvgBeginning,times,times_AvgLast,times_AvgBeginning,tot_time
Reinforce_1000_b0_hS_rs42_250528_19-51-42,0,S,1000,,0,0.99,0.001,64,50,42,"[np.float64(2.2717101486430202), np.float64(1.9577513062232097), np.float64(5.039399414123466), np.float64(2.0014802423847233), np.float64(2.7782151597796236), np.float64(6.4093321150989855), np.float64(9.644588303432636), np.float64(2.0423534428755143), np.float64(0.6681533618757287), np.float64(6.051360941424252), np.float64(-0.045136849280780655), np.float64(48.07867027203167), np.float64(23.159296811521124), np.float64(10.536459641717713), np.float64(44.852713173449615), np.float64(45.5213795472895), np.float64(39.70483498678186), np.float64(40.95661579261454), np.float64(50.4007980351204), np.float64(54.58085929917083)]","[np.float64(1.510390055698307), np.float64(3.776146169186985), np.float64(3.7193328812654003), np.float64(2.6713643624659396), np.float64(3.456350710869167), np.float64(4.970177696759822), np.float64(6.138982342339814), np.float64(5.7641809172759295), np.float64(5.05834405284023), np.float64(5.105620838990602), np.float64(7.175616978598486), np.float64(14.001159893347944), np.float64(21.029204404257747), np.float64(25.058196895989028), np.float64(27.783629327966246), np.float64(30.191681503233976), np.float64(36.19376372285496), np.float64(39.17015645991703), np.float64(38.99455990802837), np.float64(42.26426337205754)]","[np.float64(3.0207801113966135), np.float64(3.776146169186986), np.float64(3.4864819579758066), np.float64(3.2237552658264654), np.float64(3.4744294591331526), np.float64(3.8058960761375835), np.float64(4.2357302829064825), np.float64(4.295467286422167), np.float64(4.418533342891753), np.float64(4.457497996935851), np.float64(4.919821276656612), np.float64(6.048108313004527), np.float64(7.398187911672169), np.float64(8.763835253430884), np.float64(10.116246767178051), np.float64(11.44231603465628), np.float64(13.184189938434157), np.float64(14.523187193018583), np.float64(15.901070987865134), np.float64(17.297294810922477)]","[0.00881338119506836, 0.01055288314819336, 0.007736921310424805, 0.006646871566772461, 0.008617639541625977, 0.012095212936401367, 0.012461662292480469, 0.0078084468841552734, 0.0056018829345703125, 0.01202845573425293, 0.00724029541015625, 0.028415203094482422, 0.018569469451904297, 0.011847257614135742, 0.024512767791748047, 0.025651216506958008, 0.01770782470703125, 0.022993803024291992, 0.02054429054260254, 0.02446889877319336]","[np.float64(0.004125759601593017), np.float64(0.008644652366638184), np.float64(0.008074531555175781), np.float64(0.00683828592300415), np.float64(0.007866489887237548), np.float64(0.009452826976776123), np.float64(0.010029680728912353), np.float64(0.009361214637756347), np.float64(0.008729109764099121), np.float64(0.008497283458709717), np.float64(0.008839752674102783), np.float64(0.010977060794830322), np.float64(0.013934135437011719), np.float64(0.01599571943283081), np.float64(0.0168011999130249), np.float64(0.017317659854888916), np.float64(0.019706885814666748), np.float64(0.021000823974609374), np.float64(0.019841625690460205), np.float64(0.019620885848999025)]","[0.008251519203186033, 0.008644652366638188, 0.008133527437845867, 0.007741469144821172, 0.008026712417602546, 0.008311921755472833, 0.00859898907797678, 0.008574244976043715, 0.008627904786003976, 0.008558852672576925, 0.008666422583840129, 0.008961887359619157, 0.00947683994586653, 0.009966720512935116, 0.010453421274820992, 0.010885587930679345, 0.011542064161861668, 0.012009503046671574, 0.012415702217503616, 0.012770641326904314]",12.961045026779175
Reinforce_1000_b0_hS_rs42_250528_19-52-48,0,S,1000,,0,0.99,0.001,64,50,42,"[np.float64(2.2717101486430202), np.float64(1.9577513062232097), np.float64(5.039399414123466), np.float64(2.0014802423847233), np.float64(2.7782151597796236), np.float64(6.4093321150989855), np.float64(9.644588303432636), np.float64(2.0423534428755143), np.float64(0.6681533618757287), np.float64(6.051360941424252), np.float64(-0.045136849280780655), np.float64(48.07867027203167), np.float64(23.159296811521124), np.float64(10.536459641717713), np.float64(44.852713173449615), np.float64(45.5213795472895), np.float64(39.70483498678186), np.float64(40.95661579261454), np.float64(50.4007980351204), np.float64(54.58085929917083)]","[np.float64(1.510390055698307), np.float64(3.776146169186985), np.float64(3.7193328812654003), np.float64(2.6713643624659396), np.float64(3.456350710869167), np.float64(4.970177696759822), np.float64(6.138982342339814), np.float64(5.7641809172759295), np.float64(5.05834405284023), np.float64(5.105620838990602), np.float64(7.175616978598486), np.float64(14.001159893347944), np.float64(21.029204404257747), np.float64(25.058196895989028), np.float64(27.783629327966246), np.float64(30.191681503233976), np.float64(36.19376372285496), np.float64(39.17015645991703), np.float64(38.99455990802837), np.float64(42.26426337205754)]","[np.float64(3.0207801113966135), np.float64(3.776146169186986), np.float64(3.4864819579758066), np.float64(3.2237552658264654), np.float64(3.4744294591331526), np.float64(3.8058960761375835), np.float64(4.2357302829064825), np.float64(4.295467286422167), np.float64(4.418533342891753), np.float64(4.457497996935851), np.float64(4.919821276656612), np.float64(6.048108313004527), np.float64(7.398187911672169), np.float64(8.763835253430884), np.float64(10.116246767178051), np.float64(11.44231603465628), np.float64(13.184189938434157), np.float64(14.523187193018583), np.float64(15.901070987865134), np.float64(17.297294810922477)]","[0.007175922393798828, 0.008156776428222656, 0.006754398345947266, 0.009735822677612305, 0.0068933963775634766, 0.01226353645324707, 0.013379335403442383, 0.00827646255493164, 0.005529165267944336, 0.012034177780151367, 0.005911350250244141, 0.023294448852539062, 0.019714832305908203, 0.012495756149291992, 0.021234989166259766, 0.02504563331604004, 0.016429901123046875, 0.02218914031982422, 0.023337364196777344, 0.023546934127807617]","[np.float64(0.004200589656829834), np.float64(0.009031133651733398), np.float64(0.008423638343811036), np.float64(0.007208385467529297), np.float64(0.00785069227218628), np.float64(0.008973114490509033), np.float64(0.009995458126068115), np.float64(0.009566030502319335), np.float64(0.00879112958908081), np.float64(0.008517007827758789), np.float64(0.008740484714508057), np.float64(0.010746161937713623), np.float64(0.014094579219818115), np.float64(0.016084413528442382), np.float64(0.01674355983734131), np.float64(0.017478506565093994), np.float64(0.019899659156799317), np.float64(0.02130392551422119), np.float64(0.020568573474884035), np.float64(0.02044867753982544)]","[0.008401179313659664, 0.009031133651733398, 0.008416152000427248, 0.00811975955963135, 0.008189968109130861, 0.00840421120325724, 0.008705822399684354, 0.008694666028022765, 0.008724779552883566, 0.008659134387969966, 0.008727635036815288, 0.009006972312927236, 0.009553318757277269, 0.010018035343715124, 0.010512017567952479, 0.010950594246387484, 0.011616445990169751, 0.012100964387257902, 0.012558775199087052, 0.01293573570251465]",13.12326955795288
Reinforce_1000_b0_hS_rs42_250528_20-02-40,0,S,1000,,0,0.99,0.001,64,50,42,"[np.float64(2.2717101486430202), np.float64(1.9577513062232097), np.float64(5.039399414123466), np.float64(2.0014802423847233), np.float64(2.7782151597796236), np.float64(6.4093321150989855), np.float64(9.644588303432636), np.float64(2.0423534428755143), np.float64(0.6681533618757287), np.float64(6.051360941424252), np.float64(-0.045136849280780655), np.float64(48.07867027203167), np.float64(23.159296811521124), np.float64(10.536459641717713), np.float64(44.852713173449615), np.float64(45.5213795472895), np.float64(39.70483498678186), np.float64(40.95661579261454), np.float64(50.4007980351204), np.float64(54.58085929917083)]","[np.float64(1.510390055698307), np.float64(3.776146169186985), np.float64(3.7193328812654003), np.float64(2.6713643624659396), np.float64(3.456350710869167), np.float64(4.970177696759822), np.float64(6.138982342339814), np.float64(5.7641809172759295), np.float64(5.05834405284023), np.float64(5.105620838990602), np.float64(7.175616978598486), np.float64(14.001159893347944), np.float64(21.029204404257747), np.float64(25.058196895989028), np.float64(27.783629327966246), np.float64(30.191681503233976), np.float64(36.19376372285496), np.float64(39.17015645991703), np.float64(38.99455990802837), np.float64(42.26426337205754)]","[np.float64(3.0207801113966135), np.float64(3.776146169186986), np.float64(3.4864819579758066), np.float64(3.2237552658264654), np.float64(3.4744294591331526), np.float64(3.8058960761375835), np.float64(4.2357302829064825), np.float64(4.295467286422167), np.float64(4.418533342891753), np.float64(4.457497996935851), np.float64(4.919821276656612), np.float64(6.048108313004527), np.float64(7.398187911672169), np.float64(8.763835253430884), np.float64(10.116246767178051), np.float64(11.44231603465628), np.float64(13.184189938434157), np.float64(14.523187193018583), np.float64(15.901070987865134), np.float64(17.297294810922477)]","[0.008835792541503906, 0.009027719497680664, 0.005555868148803711, 0.010407447814941406, 0.008738994598388672, 0.00818181037902832, 0.011711835861206055, 0.00904703140258789, 0.006121635437011719, 0.013419389724731445, 0.00793004035949707, 0.026604652404785156, 0.018313169479370117, 0.013163328170776367, 0.02440333366394043, 0.031992435455322266, 0.023056507110595703, 0.02571392059326172, 0.023265600204467773, 0.027192115783691406]","[np.float64(0.006265990734100342), np.float64(0.010645508766174316), np.float64(0.007996020317077636), np.float64(0.0070785140991210934), np.float64(0.007883520126342773), np.float64(0.009368808269500732), np.float64(0.010395212173461914), np.float64(0.010079596042633057), np.float64(0.00926764965057373), np.float64(0.008700637817382813), np.float64(0.009651854038238525), np.float64(0.012298312187194824), np.float64(0.014711599349975586), np.float64(0.016847701072692872), np.float64(0.018197081089019775), np.float64(0.018562989234924318), np.float64(0.02132991552352905), np.float64(0.023429923057556153), np.float64(0.021742339134216308), np.float64(0.03991337776184082)]","[0.012531981468200684, 0.010645508766174322, 0.009508007367451986, 0.008862011432647704, 0.008858212471008292, 0.009030943711598707, 0.0092973552431379, 0.009293106794357298, 0.009290754000345862, 0.009174612998962398, 0.009356408552689982, 0.009695229530334479, 0.010180284059964705, 0.010717011179242815, 0.011249190330505365, 0.011697758436202993, 0.012435158000272853, 0.013001332283020008, 0.013414861277530051, 0.01569253683090208]",15.903467655181885
Reinforce_1000_b0_hS_rs42_250528_20-03-37,0,S,1000,,0,0.99,0.001,64,50,42,"[np.float64(2.2717101486430202), np.float64(1.9577513062232097), np.float64(5.039399414123466), np.float64(2.0014802423847233), np.float64(2.7782151597796236), np.float64(6.4093321150989855), np.float64(9.644588303432636), np.float64(2.0423534428755143), np.float64(0.6681533618757287), np.float64(6.051360941424252), np.float64(-0.045136849280780655), np.float64(48.07867027203167), np.float64(23.159296811521124), np.float64(10.536459641717713), np.float64(44.852713173449615), np.float64(45.5213795472895), np.float64(39.70483498678186), np.float64(40.95661579261454), np.float64(50.4007980351204), np.float64(54.58085929917083)]","[np.float64(1.510390055698307), np.float64(3.776146169186985), np.float64(3.7193328812654003), np.float64(2.6713643624659396), np.float64(3.456350710869167), np.float64(4.970177696759822), np.float64(6.138982342339814), np.float64(5.7641809172759295), np.float64(5.05834405284023), np.float64(5.105620838990602), np.float64(7.175616978598486), np.float64(14.001159893347944), np.float64(21.029204404257747), np.float64(25.058196895989028), np.float64(27.783629327966246), np.float64(30.191681503233976), np.float64(36.19376372285496), np.float64(39.17015645991703), np.float64(38.99455990802837), np.float64(42.26426337205754)]","[np.float64(3.0207801113966135), np.float64(3.776146169186986), np.float64(3.4864819579758066), np.float64(3.2237552658264654), np.float64(3.4744294591331526), np.float64(3.8058960761375835), np.float64(4.2357302829064825), np.float64(4.295467286422167), np.float64(4.418533342891753), np.float64(4.457497996935851), np.float64(4.919821276656612), np.float64(6.048108313004527), np.float64(7.398187911672169), np.float64(8.763835253430884), np.float64(10.116246767178051), np.float64(11.44231603465628), np.float64(13.184189938434157), np.float64(14.523187193018583), np.float64(15.901070987865134), np.float64(17.297294810922477)]","[0.007838249206542969, 0.006041049957275391, 0.00808095932006836, 0.0075550079345703125, 0.007117509841918945, 0.009448528289794922, 0.012832880020141602, 0.008909225463867188, 0.006858110427856445, 0.01194620132446289, 0.0057468414306640625, 0.02231764793395996, 0.017470598220825195, 0.013920783996582031, 0.024877548217773438, 0.02635812759399414, 0.01965165138244629, 0.018179655075073242, 0.025081157684326172, 0.02258467674255371]","[np.float64(0.00518101692199707), np.float64(0.009141623973846436), np.float64(0.0076426339149475095), np.float64(0.007304244041442871), np.float64(0.008212578296661378), np.float64(0.009653582572937011), np.float64(0.010317420959472657), np.float64(0.009911813735961915), np.float64(0.009385397434234619), np.float64(0.009179840087890625), np.float64(0.00941819429397583), np.float64(0.011183912754058839), np.float64(0.01432102918624878), np.float64(0.01631826639175415), np.float64(0.017190251350402832), np.float64(0.01863313913345337), np.float64(0.02131817102432251), np.float64(0.02156299352645874), np.float64(0.020422520637512206), np.float64(0.02025524139404297)]","[0.010362033843994135, 0.00914162397384643, 0.00854910055796304, 0.008222934007644647, 0.00841449165344238, 0.008699816862742099, 0.008958185740879594, 0.009002816081047058, 0.009053121672736265, 0.009038220882415774, 0.009119498512961649, 0.009395836194356286, 0.00991973400115968, 0.010384754793984556, 0.010889136314392096, 0.011415802836418165, 0.012116081574383921, 0.012543268468644902, 0.012990443581029004, 0.013314465761184712]",13.503121614456177
Reinforce_1000_b0_hS_rs42_250528_20-05-42,0,S,1000,,0,0.99,0.001,64,50,42,"[np.float64(2.2717101486430202), np.float64(1.9577513062232097), np.float64(5.039399414123466), np.float64(2.0014802423847233), np.float64(2.7782151597796236), np.float64(6.4093321150989855), np.float64(9.644588303432636), np.float64(2.0423534428755143), np.float64(0.6681533618757287), np.float64(6.051360941424252), np.float64(-0.045136849280780655), np.float64(48.07867027203167), np.float64(23.159296811521124), np.float64(10.536459641717713), np.float64(44.852713173449615), np.float64(45.5213795472895), np.float64(39.70483498678186), np.float64(40.95661579261454), np.float64(50.4007980351204), np.float64(54.58085929917083)]","[np.float64(1.510390055698307), np.float64(3.776146169186985), np.float64(3.7193328812654003), np.float64(2.6713643624659396), np.float64(3.456350710869167), np.float64(4.970177696759822), np.float64(6.138982342339814), np.float64(5.7641809172759295), np.float64(5.05834405284023), np.float64(5.105620838990602), np.float64(7.175616978598486), np.float64(14.001159893347944), np.float64(21.029204404257747), np.float64(25.058196895989028), np.float64(27.783629327966246), np.float64(30.191681503233976), np.float64(36.19376372285496), np.float64(39.17015645991703), np.float64(38.99455990802837), np.float64(42.26426337205754)]","[np.float64(3.0207801113966135), np.float64(3.776146169186986), np.float64(3.4864819579758066), np.float64(3.2237552658264654), np.float64(3.4744294591331526), np.float64(3.8058960761375835), np.float64(4.2357302829064825), np.float64(4.295467286422167), np.float64(4.418533342891753), np.float64(4.457497996935851), np.float64(4.919821276656612), np.float64(6.048108313004527), np.float64(7.398187911672169), np.float64(8.763835253430884), np.float64(10.116246767178051), np.float64(11.44231603465628), np.float64(13.184189938434157), np.float64(14.523187193018583), np.float64(15.901070987865134), np.float64(17.297294810922477)]","[0.008083820343017578, 0.008552312850952148, 0.01013326644897461, 0.006577730178833008, 0.0074541568756103516, 0.009675741195678711, 0.014255046844482422, 0.00834965705871582, 0.007312774658203125, 0.011830329895019531, 0.007525444030761719, 0.021876811981201172, 0.015098333358764648, 0.008613109588623047, 0.0266873836517334, 0.03331446647644043, 0.01713848114013672, 0.021593332290649414, 0.02504277229309082, 0.024575471878051758]","[np.float64(0.005672409534454346), np.float64(0.010272645950317382), np.float64(0.008359684944152831), np.float64(0.007468633651733399), np.float64(0.02470563888549805), np.float64(0.026001238822937013), np.float64(0.010432510375976563), np.float64(0.009891486167907715), np.float64(0.009086203575134278), np.float64(0.008653166294097901), np.float64(0.009086830615997315), np.float64(0.011351518630981446), np.float64(0.014206976890563964), np.float64(0.016562840938568114), np.float64(0.017905511856079102), np.float64(0.01906696557998657), np.float64(0.02077080011367798), np.float64(0.02144142150878906), np.float64(0.020488033294677733), np.float64(0.020224292278289795)]","[0.011344819068908692, 0.01027264595031739, 0.009354729652404798, 0.0088706398010254, 0.015495093345642101, 0.014580839474995931, 0.0140486410685948, 0.013408501148223884, 0.012945877181159136, 0.012457434177398696, 0.012244232351129715, 0.012273114919662481, 0.012546193049504212, 0.012885932922363287, 0.013260768890380869, 0.013658562004566202, 0.014144301975474652, 0.014523324171702089, 0.014812063166969711, 0.015093420982360859]",15.283392429351807
