model_name,type_alg,hopper,n_episodes,trained_model,baseline,gamma,optim_lr,layer_size,save_every,random_state,returns,returns_AvgLast,returns_AvgBeginning,times,times_AvgLast,times_AvgBeginning,tot_time
Reinforce_500_b0_hS_rs42_250615_12-45-47,0,S,500,,0,0.99,0.001,64,50,42,"[np.float64(5.236499798066979), np.float64(5.993200598107387), np.float64(7.890487949018276), np.float64(12.369407754252423), np.float64(37.48701119895174), np.float64(45.04599882039792), np.float64(46.812139560592), np.float64(44.43171977192433), np.float64(83.74796359252781), np.float64(234.49586652850445)]","[np.float64(3.2319620976676164), np.float64(7.048489536631778), np.float64(8.455545330564824), np.float64(13.117343603192321), np.float64(21.313648859151627), np.float64(28.82834189022935), np.float64(48.813752739181524), np.float64(86.58614091165741), np.float64(118.32857286515285), np.float64(138.03008034217078)]","[np.float64(6.463924195335235), np.float64(7.048489536631783), np.float64(7.791671618821632), np.float64(10.082916569912047), np.float64(13.20046251495362), np.float64(16.33139167668448), np.float64(23.375688293304428), np.float64(33.89507898542769), np.float64(44.476329309270746), np.float64(54.72207925677629)]","[0.03344130516052246, 0.05676746368408203, 0.03163886070251465, 0.09456968307495117, 0.15031075477600098, 0.16358160972595215, 0.2026827335357666, 0.12816572189331055, 0.345015287399292, 0.6775288581848145]","[np.float64(0.027765915393829346), np.float64(0.05781370878219604), np.float64(0.06069232940673828), np.float64(0.07582514762878417), np.float64(0.11050248384475708), np.float64(0.13493623971939087), np.float64(0.19847620964050294), np.float64(0.27658169746398925), np.float64(0.33861106872558594), np.float64(0.4167642116546631)]","[0.05553183078765868, 0.05781370878219608, 0.058972163200378444, 0.06681942820549014, 0.07958429145812991, 0.0895250320434571, 0.11355341093880794, 0.1362891983985902, 0.16356622378031413, 0.19238420104980458]",96.8415846824646
Reinforce_500_b0_hS_rs42_250615_12-56-00,0,S,500,,0,0.99,0.001,64,50,42,"[np.float64(5.384689360557495), np.float64(8.27329047030754), np.float64(13.674754062791418), np.float64(18.633831416076877), np.float64(7.87826843846772), np.float64(17.747582290929447), np.float64(13.996760811645602), np.float64(12.387715004450646), np.float64(19.83167995200712), np.float64(105.63529929020075)]","[np.float64(3.242656145669199), np.float64(7.9004722509650405), np.float64(10.015262839691143), np.float64(11.199795676750128), np.float64(12.283560117911303), np.float64(14.574105009190037), np.float64(16.950684006167798), np.float64(26.07931011205004), np.float64(44.74112084441633), np.float64(70.1319138211735)]","[np.float64(6.485312291338397), np.float64(7.900472250965041), np.float64(8.838612656906898), np.float64(9.550133963857581), np.float64(10.216591641308659), np.float64(11.224790978968395), np.float64(12.140618031268412), np.float64(14.938420762238803), np.float64(19.385174211967954), np.float64(25.977119374025758)]","[0.06486964225769043, 0.08145856857299805, 0.052646636962890625, 0.08356213569641113, 0.0665290355682373, 0.09672713279724121, 0.09101295471191406, 0.07495880126953125, 0.072296142578125, 0.4123845100402832]","[np.float64(0.057522735595703124), np.float64(0.09616083860397338), np.float64(0.07267383098602295), np.float64(0.06933987855911256), np.float64(0.07475620746612549), np.float64(0.08764268398284912), np.float64(0.0991125750541687), np.float64(0.14817075729370116), np.float64(0.19382457733154296), np.float64(0.24935969591140747)]","[0.11504547119140625, 0.09616083860397338, 0.08679771105448414, 0.08275035858154302, 0.08198110961914065, 0.08438113371531171, 0.08687581402914867, 0.10032853960990906, 0.1106422058741251, 0.13013477087020867]",65.56063842773438
Reinforce_500_b0_hS_rs35_250615_12-57-06,0,S,500,,0,0.99,0.001,64,50,35,"[np.float64(5.661641704089416), np.float64(6.408468381910377), np.float64(10.639273514209295), np.float64(84.00477306982461), np.float64(65.49976021707174), np.float64(100.77886474096137), np.float64(66.35202058186577), np.float64(89.51742879363186), np.float64(52.25847238592253), np.float64(233.65222192258767)]","[np.float64(6.774389895529819), np.float64(13.320756248453765), np.float64(16.74194887828382), np.float64(22.133530552898286), np.float64(30.131762798852314), np.float64(44.18197611147168), np.float64(55.30899807169937), np.float64(65.31935445433052), np.float64(75.25619322048999), np.float64(77.51782901439968)]","[np.float64(13.548779791059637), np.float64(13.320756248453764), np.float64(15.67755918254243), np.float64(17.72714340067603), np.float64(21.459240629066407), np.float64(26.545420970941255), np.float64(31.130599898390095), np.float64(36.23890434178858), np.float64(40.9362873033012), np.float64(44.49468927631079)]","[0.034032344818115234, 0.05251669883728027, 0.13837528228759766, 0.1939408779144287, 0.2071695327758789, 0.23000407218933105, 0.13229131698608398, 0.17777490615844727, 0.1117715835571289, 0.34731459617614746]","[np.float64(0.03493175268173218), np.float64(0.08912688970565796), np.float64(0.09859317064285278), np.float64(0.09411872386932373), np.float64(0.111836838722229), np.float64(0.13551454305648802), np.float64(0.1691015839576721), np.float64(0.17238359451293944), np.float64(0.1572095513343811), np.float64(0.15905919790267944)]","[0.06986350536346435, 0.08912688970565802, 0.08901661554972339, 0.0916228067874909, 0.09814470481872573, 0.10625338554382335, 0.11841809885842462, 0.12278593778610236, 0.1270384216308594, 0.13004058980941774]",65.79728412628174
