#{"t_start": 1747305980.5042236, "env_id": "CustomHopper-source-v0"}
r,l,t
142.880617,76,12.053171
147.452012,70,13.898702
228.324389,105,13.949182
191.445124,82,13.995934
98.216941,53,14.021131
128.937109,71,14.059688
18.270968,18,14.068299
74.515079,41,14.088089
135.286198,67,14.119315
195.684801,102,14.171601
202.614555,95,14.215655
93.184479,51,14.245302
103.267775,62,14.278658
169.498498,104,14.332582
138.210742,68,14.368762
164.130199,74,14.407101
129.438466,70,14.444382
58.186485,53,14.474504
89.449031,48,14.511589
79.195619,44,14.532745
104.158385,54,14.558917
35.856451,29,14.572762
89.725827,54,14.599167
79.994978,44,14.620266
211.095159,88,14.663012
167.992632,86,14.703717
85.791734,48,14.726441
147.177003,70,14.759892
58.248213,34,14.776546
71.788226,41,14.796152
107.481715,69,14.831449
113.127725,59,14.862152
113.717118,68,14.898532
177.818977,91,16.77071
150.979779,70,16.803399
77.572382,44,16.823549
216.01374,91,16.864652
254.836887,123,16.953416
233.679566,108,17.015239
225.929738,102,17.071086
273.68578,125,17.133657
215.1091,95,17.179856
169.452777,76,17.2256
166.677972,85,17.268234
226.358334,121,17.326782
164.912977,78,17.363131
110.561639,58,17.395311
235.524656,115,17.45675
98.087733,52,17.483336
145.006253,75,17.520195
203.763417,95,17.576803
211.720568,99,17.624815
209.070784,101,17.677989
143.600111,81,17.730778
233.596153,109,17.806029
112.733915,56,17.83285
221.236954,96,19.707758
244.851812,108,19.763291
29.439738,25,19.781015
210.208122,98,19.852976
226.173279,96,19.89892
258.411404,128,19.966524
179.757539,85,20.011237
230.505098,108,20.070929
300.213086,165,20.152355
215.899881,94,20.198902
73.852737,42,20.221193
192.353624,85,20.263222
232.988429,113,20.320726
212.573239,94,20.373303
99.44988,58,20.403669
82.992251,46,20.426552
206.332492,90,20.473926
163.285608,88,20.518788
205.47317,89,20.565765
225.897491,100,20.621736
230.154897,105,20.672155
231.991193,116,20.733723
240.013695,107,22.72122
217.421037,100,22.768823
112.257156,62,22.802417
238.901849,104,22.852389
201.789238,90,22.89603
78.538976,46,22.920762
194.413622,85,22.966619
85.557986,49,22.989398
238.451549,117,23.051761
113.290836,62,23.086565
218.138233,98,23.143379
218.180732,100,23.198113
206.467587,92,23.250904
118.236155,68,23.288167
131.488038,65,23.323709
208.884808,95,23.380357
230.088313,114,23.45932
125.373307,65,23.495364
251.465895,112,23.552361
176.688669,81,23.592132
247.396412,107,23.656851
216.143299,92,23.703522
202.679173,94,23.752449
205.392119,89,23.801448
249.176795,109,25.727088
228.101017,98,25.769999
208.550678,93,25.814756
192.07996,85,25.859586
160.471976,79,25.901222
208.796697,90,25.964376
90.928228,51,25.996008
79.185975,46,26.020554
259.861007,117,26.099757
248.714821,102,26.152071
209.28294,90,26.197924
67.920169,39,26.215894
134.960923,67,26.249913
226.424574,99,26.297635
208.444161,92,26.355011
226.65646,99,26.401446
108.547859,60,26.43167
209.69658,89,26.476661
69.606484,44,26.498549
200.978207,87,26.54134
247.263186,110,26.59355
189.690739,89,26.636176
204.960311,87,26.684464
220.925102,94,26.732365
248.709797,126,28.674764
228.768401,96,28.715524
240.875048,108,28.763717
246.951052,119,28.81875
219.46539,99,28.872192
223.09121,95,28.922581
222.486061,99,28.971634
256.954172,105,29.026588
201.651855,87,29.068204
206.557901,95,29.11716
220.180399,94,29.165013
228.321197,96,29.211613
210.769131,92,29.257413
229.79549,102,29.30398
155.442892,72,29.337851
194.00145,87,29.385005
210.488832,95,29.433714
261.768833,109,29.492386
230.905298,99,29.548353
283.354999,113,29.60753
219.411025,95,31.458827
214.840674,93,31.503438
234.613224,115,31.552701
140.261504,69,31.582633
270.834648,110,31.635691
260.492924,113,31.697461
144.628692,71,31.735786
272.488714,111,31.79063
248.65176,106,31.844399
221.787055,97,31.898383
274.650855,111,31.982252
223.973286,99,32.031363
247.258065,110,32.082763
258.524088,111,32.137159
279.306002,110,32.200556
160.552807,78,32.256458
248.924558,108,32.308898
206.473031,90,32.354507
232.275605,102,32.403103
217.205309,93,32.446049
231.655822,101,32.496327
217.802924,95,34.593139
237.975756,104,34.648362
295.054186,125,34.712426
296.592371,116,34.778565
187.309903,86,34.823365
235.179317,108,34.884944
259.699402,109,34.943638
246.287984,102,34.996071
219.009847,101,35.046211
258.429905,114,35.107619
234.933231,105,35.160381
223.021311,100,35.212275
265.478183,106,35.264255
223.53865,98,35.314818
236.290072,103,35.367575
